Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,totalSeasons,Response,DVD,BoxOffice,Production,Website
Prison Break,2005–2017,TV-14,29 Aug 2005,44 min,"Action, Crime, Drama",N/A,Paul T. Scheuring,"Dominic Purcell, Wentworth Miller, Amaury Nolasco","A structural engineer installs himself in a prison he helped design, in order to save his falsely accused brother from a death sentence by breaking themselves out from the inside.","English, Spanish, Arabic","United Kingdom, United States",Nominated for 1 Primetime Emmy. 8 wins & 32 nominations total,https://m.media-amazon.com/images/M/MV5BMTljM2Y5OTUtMzg3Yy00ZjI3LTg4YzUtMmVkMGY2NTgyMmQ3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,"598,532",tt0455275,series,5,True,,,,
The Late Show with Stephen Colbert,2015–,TV-PG,08 Sep 2015,41 min,"Comedy, Talk-Show",N/A,N/A,"Stephen Colbert, Stay Human, Jon Batiste","Stephen Colbert took over as host, executive producer and writer of THE LATE SHOW on Tuesday, Sept. 8, 2015. The comedy-variety-talk show is broadcast five nights a week from the Ed Sullivan theater in New York.",English,United States,Nominated for 31 Primetime Emmys. 4 wins & 101 nominations total,https://m.media-amazon.com/images/M/MV5BYjZmNDY2OTEtMTIyZC00ZDQ4LWJiZTktNzcyM2IxMDM1YWNhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"15,174",tt3697842,series,9,True,,,,
Golden Boy,1995–1996,Not Rated,27 Oct 1995,1 min,"Animation, Comedy",N/A,Tatsuya Egawa,"Doug Smith, Matt Greenfield, Mitsuo Iwata","A University drop-out rides Japan on his bicycle, taking part-time jobs and trying not to take women.","Japanese, English",Japan,N/A,https://m.media-amazon.com/images/M/MV5BZGVhODJjYzUtMjNjZS00NGJlLWJhZDEtN2FlMmM0YzZiOTc4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"7,616",tt0159145,series,1,True,,,,
Dragon Ball Z,1996–2003,TV-PG,13 Sep 1996,17S min,"Animation, Action, Adventure",N/A,N/A,"Doc Harris, Christopher Sabat, Scott McNeil","With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.","Japanese, English","Japan, United States, Canada",N/A,https://m.media-amazon.com/images/M/MV5BN2VlNTdlMzQtYzE5OC00YmYwLTgyZTItYjEzMWY0ZDNjMTJhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}]",N/A,8.8,"153,003",tt0214341,series,16,True,,,,
The Lord of the Rings: The Rings of Power,2022–,TV-14,01 Sep 2022,N/A,"Action, Adventure, Drama",N/A,"Patrick McKay, John D. Payne","Morfydd Clark, Charlie Vickers, Charles Edwards","Epic drama set thousands of years before the events of J.R.R. Tolkien's 'The Hobbit' and 'The Lord of the Rings' follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil ...","English, Sindarin","United States, New Zealand, Canada",Nominated for 6 Primetime Emmys. 15 wins & 48 nominations total,https://m.media-amazon.com/images/M/MV5BNmVmZGQ2ZTctYzE4NC00YzkxLThhNjYtNGIyZjJmZGEwMjUzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"397,896",tt7631058,series,2,True,,,,
The Rookie,2018–,TV-14,16 Oct 2018,43 min,"Action, Crime, Drama",N/A,Alexi Hawley,"Nathan Fillion, Alyssa Diaz, Richard T. Jones","Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife ...",English,United States,Nominated for 3 Primetime Emmys. 2 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMzc2MDdkZDUtZjZlYy00MGMyLWJkNzUtMTMxY2FkZjZjYmEyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"82,737",tt7587890,series,6,True,,,,
Teacup,2024–,TV-MA,10 Oct 2024,N/A,"Horror, Sci-Fi, Thriller",N/A,Ian McCulloch,"Yvonne Strahovski, Scott Speedman, Rob Morgan","Trapped on a farm in rural Georgia, a group of neighbors must put aside their differences and unite in the face of a mysterious and deadly threat.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTk0Mjc3ZjUtY2E0Mi00YWZhLWIwOTgtODYyODNkNTU0YTQ1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"1,055",tt27031263,series,1,True,,,,
Lioness,2023–,TV-MA,23 Jul 2023,N/A,"Action, Drama, Thriller",N/A,Taylor Sheridan,"Zoe Saldana, LaMonica Garrett, Laysla De Oliveira",CIA operative Joe attempts to balance her personal and professional lives as the tip of the spear in the agency's war on terror.,English,United States,4 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BMjgyZWI0ZWEtNTYwMi00NDQ0LWExMGYtZDMwOGVjOTg2ZWE1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"48,296",tt13111078,series,2,True,,,,
Game of Thrones,2011–2019,TV-MA,17 Apr 2011,57 min,"Action, Adventure, Drama",N/A,"David Benioff, D.B. Weiss","Emilia Clarke, Peter Dinklage, Kit Harington","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",English,"United States, United Kingdom",Won 59 Primetime Emmys. 397 wins & 655 nominations total,https://m.media-amazon.com/images/M/MV5BYzE5MjM1OTUtOGZiMC00NmE0LWI2ZDUtYTU3ZWJiNTdmOWJmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.2/10'}]",N/A,9.2,"2,359,163",tt0944947,series,8,True,,,,
Supernatural,2005–2020,TV-14,13 Sep 2005,44 min,"Drama, Fantasy, Horror",N/A,Eric Kripke,"Jared Padalecki, Jensen Ackles, Jim Beaver","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth.",English,United States,Nominated for 3 Primetime Emmys. 37 wins & 126 nominations total,https://m.media-amazon.com/images/M/MV5BMDFmMGZmMGItNGRjNC00NjVjLWI5ODEtNzhjMTE5MmJhN2FkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"496,550",tt0460681,series,15,True,,,,
Dexter,2006–2013,TV-MA,01 Oct 2006,53 min,"Crime, Drama, Mystery",N/A,James Manos Jr.,"Michael C. Hall, Jennifer Carpenter, David Zayas","He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and his nights committing them.","English, Spanish",United States,Won 4 Primetime Emmys. 56 wins & 202 nominations total,https://m.media-amazon.com/images/M/MV5BYmRjM2RhZGItYzdlMi00OWVkLWE0MTItZDBiZWU2NTU1Y2VhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",N/A,8.6,"795,584",tt0773262,series,8,True,,,,
Lucifer,2016–2021,TV-14,25 Jan 2016,42 min,"Crime, Drama, Fantasy",N/A,Tom Kapinos,"Tom Ellis, Lauren German, Kevin Alejandro",Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,English,United States,Nominated for 1 Primetime Emmy. 2 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BYzMwNzI3MWItZTIzYi00YjkxLThhOWQtYmUwYjg4NWM0ZWI1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,"365,173",tt4052886,series,6,True,,,,
Re: Zero - Starting Life in Another World,2016–,TV-14,03 Apr 2016,24 min,"Animation, Adventure, Drama",N/A,N/A,"Yûsuke Kobayashi, Sean Chiplock, Rie Takahashi","After being suddenly transported to another world, Subaru Natsuki and his new female partner are brutally murdered. However, Subaru awakens to a familiar scene, meeting the same girl again. The day begins to mysteriously repeat it...","Japanese, English, Spanish, Portuguese, French, German",Japan,28 wins & 38 nominations,https://m.media-amazon.com/images/M/MV5BNTY1M2NjMTItOGFhNi00NDU3LWExNzQtZGY2YWJlYzExNmU3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"27,002",tt5607616,series,3,True,,,,
The Simpsons,1989–,TV-14,17 Dec 1989,22 min,"Animation, Comedy",N/A,"James L. Brooks, Matt Groening, Sam Simon","Dan Castellaneta, Nancy Cartwright, Julie Kavner",The satiric half-hour adventures of a working-class family in the misfit city of Springfield.,English,United States,Won 37 Primetime Emmys. 187 wins & 364 nominations total,https://m.media-amazon.com/images/M/MV5BNTU2OWE0YWYtMjRlMS00NTUwLWJmZWUtODFhNzJiMGJlMzI3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}]",N/A,8.7,"443,242",tt0096697,series,36,True,,,,
Honest Trailers,2012–,TV-14,13 Feb 2012,5 min,Comedy,N/A,"Andy Signore, Brett Weiner","Jon Bailey, Gannon Nickell, Ryan Reynolds","In this web series the Screen Junkies crew picks out everything that is wrong with a movie and then makes an ""honest trailer"".",English,United States,Nominated for 4 Primetime Emmys. 3 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BZTkwODc0ZDMtMmJlMC00MzI0LWE1MGItYWM5ZTEyMjk2ZTYxXkEyXkFqcGdeQXVyNjQ0OTkxMzQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,"4,711",tt2610260,series,21,True,,,,
Superman,1978,PG,15 Dec 1978,143 min,"Action, Adventure, Sci-Fi",Richard Donner,"Jerry Siegel, Joe Shuster, Mario Puzo","Christopher Reeve, Margot Kidder, Gene Hackman","An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.",English,"United States, United Kingdom, Switzerland, Panama",Nominated for 3 Oscars. 19 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BMzFlZDJjMDAtZDYxZS00NzZhLTk2ODMtZWRlODA3Njk3ZTdmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.4,"190,708",tt0078346,movie,,True,N/A,"$134,478,449",N/A,N/A
Outer Banks,2020–,TV-MA,15 Apr 2020,50 min,"Action, Crime, Drama",N/A,"Shannon Burke, Jonas Pate, Josh Pate","Chase Stokes, Madelyn Cline, Madison Bailey","On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance.",English,United States,4 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BY2FmYmJiYTQtYmJhZC00ZTIxLTk3OTAtNzc3NDk0NGMxYTdmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"85,626",tt10293938,series,4,True,,,,
Breaking Bad,2008–2013,TV-MA,20 Jan 2008,49 min,"Crime, Drama, Thriller",N/A,Vince Gilligan,"Bryan Cranston, Aaron Paul, Anna Gunn",A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student to secure his family's future.,"English, Spanish",United States,Won 16 Primetime Emmys. 169 wins & 269 nominations total,https://m.media-amazon.com/images/M/MV5BMzU5ZGYzNmQtMTdhYy00OGRiLTg0NmQtYjVjNzliZTg1ZGE4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",N/A,9.5,"2,225,876",tt0903747,series,5,True,,,,
Shameless,2011–2021,TV-MA,09 Jan 2011,46 min,"Comedy, Drama",N/A,"Paul Abbott, John Wells","Emmy Rossum, William H. Macy, Ethan Cutkosky","A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",English,United States,Won 4 Primetime Emmys. 16 wins & 69 nominations total,https://m.media-amazon.com/images/M/MV5BMWUwZjJmYjctYTY3MC00ZTVlLWI1ZGEtNWQzMTFlMTcwMTY2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,"298,864",tt1586680,series,11,True,,,,
Criminal Minds,2005–,TV-14,22 Sep 2005,42 min,"Crime, Drama, Mystery",N/A,Jeff Davis,"Kirsten Vangsness, Matthew Gray Gubler, A.J. Cook",A group of criminal profilers who work for the FBI as members of its Behavioral Analysis Unit (BAU) using behavioral analysis and profiling to help investigate crimes and find the suspect known as the unsub.,English,United States,Nominated for 3 Primetime Emmys. 24 wins & 35 nominations total,https://m.media-amazon.com/images/M/MV5BNjJhMWNjNGYtMmQ2Ny00NTdlLTlkOTAtNDc2NjA4MmQyOWFhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,"224,830",tt0452046,series,17,True,,,,
Yellowstone,2018–2024,TV-MA,20 Jun 2018,60 min,"Drama, Western",N/A,"John Linson, Taylor Sheridan","Kevin Costner, Luke Grimes, Kelly Reilly",A ranching family in Montana faces off against others encroaching on their land.,English,United States,Nominated for 1 Primetime Emmy. 8 wins & 44 nominations total,https://m.media-amazon.com/images/M/MV5BYzE2ODQ0NmQtYmMxMS00MGRlLTgwOGEtYjRkN2FkYmZlN2JlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}]",N/A,8.7,"237,147",tt4236770,series,5,True,,,,
Overflow,2020,TV-MA,06 Jan 2020,N/A,"Animation, Short, Adult",N/A,N/A,"Sada Naohiro, Tomoe Tamiyasu, Mai Kadowaki","Kazushi Sudou is a university student who is visited by his two childhood friends, the sisters Ayane and Kotone Shirakawa. When Ayane discovers that Kazushi not only forgot to buy her pudding but is also using her special lotion i...",Japanese,Japan,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,430,tt14962432,series,1,True,,,,
Lost,2004–2010,TV-14,22 Sep 2004,44 min,"Adventure, Drama, Fantasy",N/A,"J.J. Abrams, Jeffrey Lieber, Damon Lindelof","Jorge Garcia, Josh Holloway, Yunjin Kim",The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,"English, Portuguese, Spanish, Arabic, French, Korean, German, Latin, Russian, Japanese",United States,Won 10 Primetime Emmys. 118 wins & 418 nominations total,https://m.media-amazon.com/images/M/MV5BOTJiZTA5NzMtYmY4MS00Y2NmLWE0YTYtMDFlNDc3YTdiZjE5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",N/A,8.3,"615,583",tt0411008,series,6,True,,,,
The Tonight Show Starring Jimmy Fallon,2014–,TV-14,17 Feb 2014,60 min,"Comedy, Music, Talk-Show",N/A,N/A,"Jimmy Fallon, The Roots, Steve Higgins","Jimmy Fallon hosts the Tonight Show and interviews celebrities, plays games with them and has a musical or comedic guest perform.",English,United States,Won 2 Primetime Emmys. 15 wins & 33 nominations total,https://m.media-amazon.com/images/M/MV5BOWVkOWMxOWEtOGYxMi00NjU5LTkxYzEtZGNhNTIyNDljYTkzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"19,260",tt3444938,series,11,True,,,,
The Walking Dead,2010–2022,TV-MA,31 Oct 2010,44 min,"Drama, Horror, Thriller",N/A,Frank Darabont,"Andrew Lincoln, Norman Reedus, Melissa McBride",Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,English,United States,Won 2 Primetime Emmys. 85 wins & 239 nominations total,https://m.media-amazon.com/images/M/MV5BYWQwMGRhNGEtZTNhMy00MzVjLWJhMjItYjcwMDljMTkyNTg2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,"1,108,827",tt1520211,series,11,True,,,,
Richard Osman's House of Games,2017–,N/A,04 Sep 2017,29 min,Game-Show,N/A,N/A,"Richard Osman, Hugh Dennis, Ivo Graham",Richard Osman hosts the game show in which he sets a panel of four celebrity contestants a series of games and puzzles to test their general knowledge.,English,United Kingdom,Nominated for 2 BAFTA 4 nominations total,https://m.media-amazon.com/images/M/MV5BN2Y3NzBjZDctYmFkYy00M2U3LTk2MTMtNWU5ZDZlODcyNThiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,986,tt7316998,series,6,True,,,,
House,2004–2012,TV-14,16 Nov 2004,44 min,"Drama, Mystery",N/A,David Shore,"Hugh Laurie, Omar Epps, Robert Sean Leonard","Using a crack team of doctors and his wits, an antisocial maverick doctor specializing in diagnostic medicine does whatever it takes to solve puzzling cases that come his way.",English,United States,Won 5 Primetime Emmys. 58 wins & 140 nominations total,https://m.media-amazon.com/images/M/MV5BMjgxYjAwNmMtYTAwZC00YmQxLWJlOTMtMWM0NGJmNDE0YmI2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}]",N/A,8.7,"535,078",tt0412142,series,8,True,,,,
Suits,2011–2019,TV-14,23 Jun 2011,44 min,"Comedy, Drama",N/A,Aaron Korsh,"Gabriel Macht, Patrick J. Adams, Meghan Markle","On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.",English,United States,1 win & 9 nominations,https://m.media-amazon.com/images/M/MV5BYmE4MmNjZjUtNTEyNy00NTZiLWE4NTktYjM2NjBhYzQ1N2IzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"497,728",tt1632701,series,9,True,,,,
Vikings,2013–2020,TV-MA,03 Mar 2013,44 min,"Action, Adventure, Drama",N/A,Michael Hirst,"Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.","English, Old English, Norse, Old, Latin, French, Arabic, Greek, Ancient (to 1453), Russian","Ireland, Canada",Won 1 Primetime Emmy. 46 wins & 133 nominations total,https://m.media-amazon.com/images/M/MV5BOTFmZmExYTEtYmE0Mi00MzRmLWE4ZDYtOThiNzNlOTIyODljXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,"600,629",tt2306299,series,6,True,,,,
The Good Doctor,2017–2024,TV-14,25 Sep 2017,41 min,Drama,N/A,David Shore,"Freddie Highmore, Richard Schiff, Hill Harper","Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.",English,United States,7 wins & 28 nominations,https://m.media-amazon.com/images/M/MV5BZjY0ZWNkNjMtYzdkOC00MmM4LThjYzUtN2UyZWMxODk0ZjhiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"119,089",tt6470478,series,7,True,,,,
The Fugitive,1993,PG-13,06 Aug 1993,130 min,"Action, Crime, Drama",Andrew Davis,"Jeb Stuart, David Twohy, Roy Huggins","Harrison Ford, Tommy Lee Jones, Sela Ward","Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.","English, Polish, Spanish",United States,Won 1 Oscar. 13 wins & 37 nominations total,https://m.media-amazon.com/images/M/MV5BM2RjMjEwODUtYTE4OC00MzhkLThjMjItZjYyZjk3YzA4YWUxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,7.8,"324,850",tt0106977,movie,,True,N/A,"$183,875,760",N/A,N/A
